model,model_key,dataset,shot,accuracy,elapsed_sec,seed,status,cosco_variant,rho_min,rho_mean,rho_max,rho_final,proto_stress_mean,proto_stress_final,fft_reg_lambda,fft_reg_loss_time_mean,fft_reg_loss_freq_mean,fft_reg_loss_total_mean,fft_reg_lambda_min,fft_reg_lambda_mean,fft_reg_lambda_max,fft_reg_lambda_final,proto_margin_value,proto_margin_beta,proto_margin_base_loss_mean,proto_margin_loss_mean,proto_margin_total_loss_mean,proto_margin_positive_rate_mean,proto_margin_gap_mean
cosco,cosco,BasicMotions,1,1.0,0.5,9782,ok,,,,,,,,,,,,,,,,,,,,,,
cosco_proto_margin,cosco_proto_margin_m0_b0.05,BasicMotions,1,1.0,0.1,9782,ok,m0_b0.05,,,,,,,,,,,,,,,0.0,0.05,0.7953213453292847,0.0,0.7953213453292847,0.0,3.154173254966736
cosco_proto_margin_fft_reg,cosco_proto_margin_fft_reg_l0.1,BasicMotions,1,1.0,0.2,9782,ok,fft_reg_lambda=0.1,,,,,,,0.1,0.7955678999423981,0.9584012627601624,0.8914080262184143,0.1,0.1,0.1,0.1,0.0,0.05,0.7955678999423981,0.0,0.7955678999423981,0.0,3.1520837545394897
