dataset,shot,base_seed,seed,model,accuracy,elapsed_sec,status,rho_mean,rho_min,rho_max,pressure_mean,boundary_mean,crowding_mean,compactness_mean,margin_loss_mean,margin_active_rate,margin_gap_mean
RacketSports,1,10,9924,cosco,0.5,2.04,ok,,,,,,,,,,
RacketSports,1,10,9924,cosco_proto_margin,0.5,2.94,ok,,,,,,,,0.0,0.0,5.605293393135071
RacketSports,1,10,9924,cosco_geometry_rho,0.46710526315789475,2.77,ok,0.10646180152201838,0.10275427524111105,0.1112100544862405,0.42029650119924444,0.0,0.3972756008307139,0.0,,,
RacketSports,1,10,9924,cosco_proto_margin_geometry_rho,0.46710526315789475,2.84,ok,0.10646180152201838,0.10275427524111105,0.1112100544862405,0.42029650119924444,0.0,0.3972756008307139,0.0,0.0,0.0,5.545664183298746
RacketSports,1,20,9934,cosco,0.45394736842105265,2.52,ok,,,,,,,,,,
RacketSports,1,20,9934,cosco_proto_margin,0.45394736842105265,2.64,ok,,,,,,,,0.0,0.0,5.359338919321696
RacketSports,1,20,9934,cosco_geometry_rho,0.4473684210526316,3.23,ok,0.10343981662661424,0.09756217431115899,0.11000014161663577,0.4479814768716681,0.0,0.4140879958868027,0.0,,,
RacketSports,1,20,9934,cosco_proto_margin_geometry_rho,0.4473684210526316,2.85,ok,0.10343981662661424,0.09756217431115899,0.11000014161663577,0.4479814768716681,0.0,0.4140879958868027,0.0,0.0,0.0,5.437648463249206
RacketSports,1,30,9944,cosco,0.5197368421052632,2.37,ok,,,,,,,,,,
RacketSports,1,30,9944,cosco_proto_margin,0.5197368421052632,2.43,ok,,,,,,,,0.0,0.0,5.918516723314921
RacketSports,1,30,9944,cosco_geometry_rho,0.5263157894736842,2.48,ok,0.10827207572749255,0.10258910625443679,0.11360787463453302,0.40197627975850214,0.0,0.3681862692038218,0.0,,,
RacketSports,1,30,9944,cosco_proto_margin_geometry_rho,0.5263157894736842,2.51,ok,0.10827207572749255,0.10258910625443679,0.11360787463453302,0.40197627975850214,0.0,0.3681862692038218,0.0,0.0,0.0,5.881161904335022
RacketSports,10,10,10644,cosco,0.7763157894736842,6.6,ok,,,,,,,,,,
RacketSports,10,10,10644,cosco_proto_margin,0.7828947368421053,5.63,ok,,,,,,,,0.07430843350787958,0.06750000106791655,2.5796264270941416
RacketSports,10,10,10644,cosco_geometry_rho,0.7828947368421053,5.86,ok,0.09741846045558233,0.07500000000000001,0.11341973851125449,0.47075306015920615,0.19805633872747422,0.4475329488515854,0.4399750307202339,,,
