dataset,shot,cosco_proto_margin_minus_cosco,cosco_geometry_rho_minus_cosco,cosco_proto_margin_geometry_rho_minus_cosco,combination_synergy,combination_minus_best_component
Heartbeat,1,0.0,0.0016260162601626031,0.0016260162601626031,0.0,0.0
Heartbeat,10,-0.004878048780487809,0.0032520325203252063,-0.004878048780487809,-0.0032520325203252063,-0.008130081300813016
JapaneseVowels,1,0.0,0.00990990990990992,0.00990990990990992,0.0,-0.004504504504504496
JapaneseVowels,10,0.0027027027027027493,-0.004504504504504496,0.0018018018018018205,0.003603603603603567,-0.0036036036036036037
RacketSports,1,0.0,-0.01096491228070177,-0.01096491228070177,0.0,-0.01315789473684211
RacketSports,10,0.02412280701754388,0.02412280701754388,0.028508771929824556,-0.019736842105263202,0.0
