dataset,shot,base_seed,cosco,cosco_geometry_rho,cosco_proto_margin,cosco_proto_margin_geometry_rho,cosco_proto_margin_minus_cosco,cosco_geometry_rho_minus_cosco,cosco_proto_margin_geometry_rho_minus_cosco,combination_synergy,combination_minus_best_component
Heartbeat,1,10,0.7268292682926829,0.7317073170731707,0.7268292682926829,0.7317073170731707,0.0,0.004878048780487809,0.004878048780487809,0.0,0.0
Heartbeat,1,20,0.7414634146341463,0.7414634146341463,0.7414634146341463,0.7414634146341463,0.0,0.0,0.0,0.0,0.0
Heartbeat,1,30,0.7365853658536585,0.7365853658536585,0.7365853658536585,0.7365853658536585,0.0,0.0,0.0,0.0,0.0
Heartbeat,10,10,0.7170731707317073,0.7268292682926829,0.7268292682926829,0.7268292682926829,0.009756097560975618,0.009756097560975618,0.009756097560975618,-0.009756097560975618,0.0
Heartbeat,10,20,0.7317073170731707,0.7317073170731707,0.7219512195121951,0.7219512195121951,-0.009756097560975618,0.0,-0.009756097560975618,0.0,-0.009756097560975618
Heartbeat,10,30,0.7317073170731707,0.7317073170731707,0.7170731707317073,0.7170731707317073,-0.014634146341463428,0.0,-0.014634146341463428,0.0,-0.014634146341463428
JapaneseVowels,1,10,0.654054054054054,0.6405405405405405,0.654054054054054,0.6405405405405405,0.0,-0.013513513513513487,-0.013513513513513487,0.0,-0.013513513513513487
JapaneseVowels,1,20,0.7162162162162162,0.7567567567567568,0.7162162162162162,0.7567567567567568,0.0,0.04054054054054057,0.04054054054054057,0.0,0.0
JapaneseVowels,1,30,0.7567567567567568,0.7594594594594595,0.7567567567567568,0.7594594594594595,0.0,0.002702702702702675,0.002702702702702675,0.0,0.0
JapaneseVowels,10,10,0.8918918918918919,0.8837837837837837,0.8972972972972973,0.8972972972972973,0.005405405405405461,-0.008108108108108136,0.005405405405405461,0.008108108108108136,0.0
JapaneseVowels,10,20,0.9054054054054054,0.8972972972972973,0.9135135135135135,0.9135135135135135,0.008108108108108136,-0.008108108108108025,0.008108108108108136,0.008108108108108025,0.0
JapaneseVowels,10,30,0.9243243243243243,0.927027027027027,0.918918918918919,0.9162162162162162,-0.00540540540540535,0.002702702702702675,-0.008108108108108136,-0.005405405405405461,-0.010810810810810811
RacketSports,1,10,0.5,0.46710526315789475,0.5,0.46710526315789475,0.0,-0.032894736842105254,-0.032894736842105254,0.0,-0.032894736842105254
RacketSports,1,20,0.45394736842105265,0.4473684210526316,0.45394736842105265,0.4473684210526316,0.0,-0.006578947368421073,-0.006578947368421073,0.0,-0.006578947368421073
RacketSports,1,30,0.5197368421052632,0.5263157894736842,0.5197368421052632,0.5263157894736842,0.0,0.006578947368421018,0.006578947368421018,0.0,0.0
RacketSports,10,10,0.7763157894736842,0.7828947368421053,0.7828947368421053,0.7894736842105263,0.006578947368421129,0.006578947368421129,0.013157894736842146,-1.1102230246251565e-16,0.006578947368421018
RacketSports,10,20,0.7631578947368421,0.8026315789473685,0.8157894736842105,0.8157894736842105,0.05263157894736836,0.03947368421052633,0.05263157894736836,-0.03947368421052633,0.0
RacketSports,10,30,0.7960526315789473,0.8223684210526315,0.8092105263157895,0.8157894736842105,0.013157894736842146,0.02631578947368418,0.019736842105263164,-0.019736842105263164,-0.006578947368421018
