dataset,shot,model,accuracy_mean,accuracy_std,successful_runs,elapsed_mean_sec,rho_mean,pressure_mean,boundary_mean,crowding_mean,compactness_mean
RacketSports,1,cosco,0.41228070175438597,0.03854911366501523,3,0.24666666666666667,,,,,
RacketSports,1,cosco_dynamic_rho,0.41228070175438597,0.03854911366501523,3,0.29,0.10000000000000002,0.0,,,
RacketSports,1,cosco_geometry_rho,0.4254385964912281,0.021148356932002076,3,0.29,0.11499999999999999,0.47082819289207456,0.0,0.47835479974746703,0.0
RacketSports,10,cosco,0.6271929824561403,0.050247540514866705,3,0.8300000000000001,,,,,
RacketSports,10,cosco_dynamic_rho,0.625,0.05385100507810822,3,0.77,0.11499999999999999,0.8671382784843445,,,
RacketSports,10,cosco_geometry_rho,0.625,0.05385100507810822,3,0.7433333333333333,0.11499999999999999,0.7160242453436058,0.7263798356056214,0.571846357981364,0.8337570707003276
