dataset,shot,base_seed,seed,model,accuracy,elapsed_sec,status,rho_mean,rho_min,rho_max,pressure_mean,boundary_mean,crowding_mean,compactness_mean,margin_loss_mean,margin_active_rate,margin_gap_mean
BasicMotions,1,10,9782,cosco,1.0,0.2,ok,,,,,,,,,,
BasicMotions,1,10,9782,cosco_proto_margin,1.0,0.12,ok,,,,,,,,0.0,0.0,3.1336312294006348
BasicMotions,1,10,9782,cosco_geometry_rho,1.0,0.12,ok,0.08105156877656276,0.08105156877656276,0.08105156877656276,0.634774386882782,0.0,0.634774386882782,0.0,,,
BasicMotions,1,10,9782,cosco_proto_margin_geometry_rho,1.0,0.11,ok,0.08105156877656276,0.08105156877656276,0.08105156877656276,0.634774386882782,0.0,0.634774386882782,0.0,0.0,0.0,3.1336312294006348
BasicMotions,1,20,9792,cosco,1.0,0.12,ok,,,,,,,,,,
BasicMotions,1,20,9792,cosco_proto_margin,1.0,0.11,ok,,,,,,,,0.0,0.0,3.5032076835632324
BasicMotions,1,20,9792,cosco_geometry_rho,1.0,0.1,ok,0.08373022448568289,0.08373022448568289,0.08373022448568289,0.6142206192016602,0.0,0.6142206192016602,0.0,,,
BasicMotions,1,20,9792,cosco_proto_margin_geometry_rho,1.0,0.1,ok,0.08373022448568289,0.08373022448568289,0.08373022448568289,0.6142206192016602,0.0,0.6142206192016602,0.0,0.0,0.0,3.5032076835632324
BasicMotions,1,30,9802,cosco,1.0,0.09,ok,,,,,,,,,,
BasicMotions,1,30,9802,cosco_proto_margin,1.0,0.1,ok,,,,,,,,0.0,0.0,2.773164749145508
BasicMotions,1,30,9802,cosco_geometry_rho,1.0,0.12,ok,0.07604296257860349,0.07604296257860349,0.07604296257860349,0.6722069382667542,0.0,0.6722069382667542,0.0,,,
BasicMotions,1,30,9802,cosco_proto_margin_geometry_rho,1.0,164.99,ok,0.07604296257860349,0.07604296257860349,0.07604296257860349,0.6722069382667542,0.0,0.6722069382667542,0.0,0.0,0.0,2.773164749145508
BasicMotions,10,10,10502,cosco,1.0,1.4,ok,,,,,,,,,,
BasicMotions,10,10,10502,cosco_proto_margin,1.0,0.96,ok,,,,,,,,0.019129086285829544,0.02500000037252903,1.5297248363494873
BasicMotions,10,10,10502,cosco_geometry_rho,1.0,0.64,ok,0.11346888231758567,0.11346888231758567,0.11346888231758567,0.3518576920032501,0.1373598277568817,0.6803659796714783,0.3953399062156677,,,
BasicMotions,10,10,10502,cosco_proto_margin_geometry_rho,1.0,0.61,ok,0.11346888231758567,0.11346888231758567,0.11346888231758567,0.3518576920032501,0.1373598277568817,0.6803659796714783,0.3953399062156677,0.019129086285829544,0.02500000037252903,1.5297248363494873
BasicMotions,10,20,10512,cosco,1.0,0.54,ok,,,,,,,,,,
BasicMotions,10,20,10512,cosco_proto_margin,1.0,0.47,ok,,,,,,,,0.01801968738436699,0.05000000074505806,1.402747392654419
BasicMotions,10,20,10512,cosco_geometry_rho,1.0,0.47,ok,0.11183404510594147,0.11183404510594147,0.11183404510594147,0.368437796831131,0.14932695031166077,0.70131516456604,0.4168989062309265,,,
BasicMotions,10,20,10512,cosco_proto_margin_geometry_rho,1.0,0.46,ok,0.11183404510594147,0.11183404510594147,0.11183404510594147,0.368437796831131,0.14932695031166077,0.70131516456604,0.4168989062309265,0.01801968738436699,0.05000000074505806,1.402747392654419
BasicMotions,10,30,10522,cosco,1.0,0.45,ok,,,,,,,,,,
BasicMotions,10,30,10522,cosco_proto_margin,1.0,0.48,ok,,,,,,,,0.009952557273209095,0.02500000037252903,1.71219003200531
BasicMotions,10,30,10522,cosco_geometry_rho,1.0,0.57,ok,0.11309799666986955,0.11309799666986955,0.11309799666986955,0.3219549059867859,0.09284882247447968,0.6631797552108765,0.3828827142715454,,,
BasicMotions,10,30,10522,cosco_proto_margin_geometry_rho,1.0,0.5,ok,0.11309799666986955,0.11309799666986955,0.11309799666986955,0.3219549059867859,0.09284882247447968,0.6631797552108765,0.3828827142715454,0.009952557273209095,0.02500000037252903,1.71219003200531
