dataset,shot,cosco_proto_margin_minus_cosco,cosco_geometry_rho_minus_cosco,cosco_proto_margin_geometry_rho_minus_cosco,combination_synergy,combination_minus_best_component
BasicMotions,1,0.0,0.0,0.0,0.0,0.0
BasicMotions,10,0.0,0.0,0.0,0.0,0.0
