dataset,shot,base_seed,cosco,cosco_geometry_rho,cosco_proto_margin,cosco_proto_margin_geometry_rho,cosco_proto_margin_minus_cosco,cosco_geometry_rho_minus_cosco,cosco_proto_margin_geometry_rho_minus_cosco,combination_synergy,combination_minus_best_component
BasicMotions,1,10,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
BasicMotions,1,20,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
BasicMotions,1,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
BasicMotions,10,10,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
BasicMotions,10,20,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
BasicMotions,10,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
