dataset,shot,base_seed,cosco,cosco_geometry_rho,cosco_proto_margin,cosco_proto_margin_geometry_rho,cosco_proto_margin_minus_cosco,cosco_geometry_rho_minus_cosco,cosco_proto_margin_geometry_rho_minus_cosco,combination_synergy,combination_minus_best_component
Epilepsy,1,10,0.6376811594202898,0.6594202898550725,0.6376811594202898,0.6594202898550725,0.0,0.021739130434782705,0.021739130434782705,0.0,0.0
Epilepsy,1,20,0.463768115942029,0.4927536231884058,0.463768115942029,0.4927536231884058,0.0,0.02898550724637683,0.02898550724637683,0.0,0.0
Epilepsy,1,30,0.5434782608695652,0.5434782608695652,0.5434782608695652,0.5434782608695652,0.0,0.0,0.0,0.0,0.0
Epilepsy,10,10,0.9057971014492754,0.8985507246376812,0.9130434782608695,0.927536231884058,0.007246376811594124,-0.007246376811594235,0.021739130434782594,0.021739130434782705,0.01449275362318847
Epilepsy,10,20,0.9202898550724637,0.927536231884058,0.9202898550724637,0.927536231884058,0.0,0.007246376811594235,0.007246376811594235,0.0,0.0
Epilepsy,10,30,0.9347826086956522,0.927536231884058,0.9130434782608695,0.9130434782608695,-0.021739130434782705,-0.007246376811594235,-0.021739130434782705,0.007246376811594235,-0.01449275362318847
NATOPS,1,10,0.6444444444444445,0.6333333333333333,0.6444444444444445,0.6333333333333333,0.0,-0.011111111111111183,-0.011111111111111183,0.0,-0.011111111111111183
NATOPS,1,20,0.6611111111111111,0.6666666666666666,0.6611111111111111,0.6666666666666666,0.0,0.005555555555555536,0.005555555555555536,0.0,0.0
NATOPS,1,30,0.6722222222222223,0.6444444444444445,0.6722222222222223,0.6444444444444445,0.0,-0.02777777777777779,-0.02777777777777779,0.0,-0.02777777777777779
NATOPS,10,10,0.9388888888888889,0.9111111111111111,0.9388888888888889,0.9,0.0,-0.02777777777777779,-0.03888888888888886,-0.011111111111111072,-0.03888888888888886
NATOPS,10,20,0.8888888888888888,0.8666666666666667,0.9,0.8722222222222222,0.011111111111111183,-0.022222222222222143,-0.016666666666666607,-0.005555555555555647,-0.02777777777777779
NATOPS,10,30,0.9166666666666666,0.9111111111111111,0.9111111111111111,0.9055555555555556,-0.005555555555555536,-0.005555555555555536,-0.011111111111111072,0.0,-0.005555555555555536
