dataset,shot,model,accuracy_mean,accuracy_std,successful_runs,elapsed_mean_sec,rho_mean,pressure_mean,boundary_mean,crowding_mean,compactness_mean,margin_loss_mean,margin_active_rate,margin_gap_mean
Epilepsy,1,cosco,0.5483091787439613,0.08705710768570095,3,2.473333333333333,,,,,,,,
Epilepsy,1,cosco_geometry_rho,0.5652173913043478,0.08543352262718548,3,2.69,0.1044089652485398,0.4373698293830964,0.0,0.38742314312193127,0.0,,,
Epilepsy,1,cosco_proto_margin,0.5483091787439613,0.08705710768570095,3,2.5633333333333335,,,,,,0.0,0.0,6.456457466549343
Epilepsy,1,cosco_proto_margin_geometry_rho,0.5652173913043478,0.08543352262718548,3,2.66,0.1044089652485398,0.4373698293830964,0.0,0.38742314312193127,0.0,0.0,0.0,6.433644607332018
Epilepsy,10,cosco,0.9202898550724639,0.01449275362318836,3,24.900000000000002,,,,,,,,
Epilepsy,10,cosco_geometry_rho,0.9178743961352657,0.016734790411293464,3,27.0,0.10408664372862782,0.38794796709033696,0.14474617293065725,0.3670540374186304,0.4466906011104584,,,
Epilepsy,10,cosco_proto_margin,0.9154589371980676,0.004183697602823394,3,24.7,,,,,,0.03787438133860835,0.03500000079058938,4.293447875314289
Epilepsy,10,cosco_proto_margin_geometry_rho,0.9227053140096618,0.008367395205646787,3,26.99666666666667,0.10409626302345992,0.3847340820348095,0.1391785830931945,0.36265742878119145,0.4412358065446218,0.03366515276332696,0.03138888962566853,4.533086195919249
NATOPS,1,cosco,0.6592592592592593,0.013981174880131007,3,2.39,,,,,,,,
NATOPS,1,cosco_geometry_rho,0.6481481481481481,0.01697250257391053,3,2.4433333333333334,0.10729829581911736,0.41054934418027317,0.0,0.3772178269094891,0.0,,,
NATOPS,1,cosco_proto_margin,0.6592592592592593,0.013981174880131007,3,2.42,,,,,,0.0,0.0,6.59758186340332
NATOPS,1,cosco_proto_margin_geometry_rho,0.6481481481481481,0.01697250257391053,3,2.48,0.10729829581911736,0.41054934418027317,0.0,0.3772178269094891,0.0,0.0,0.0,6.582102155685425
NATOPS,10,cosco,0.9148148148148149,0.02505138751568277,3,11.93,,,,,,,,
NATOPS,10,cosco_geometry_rho,0.8962962962962964,0.025660011963983334,3,12.083333333333334,0.09532682867580118,0.508836648066822,0.24511412642378771,0.5504648642407522,0.4733173771036996,,,
NATOPS,10,cosco_proto_margin,0.9166666666666666,0.020030840419244415,3,12.209999999999999,,,,,,0.008230420764690887,0.03518518660631444,2.983301731612947
NATOPS,10,cosco_proto_margin_geometry_rho,0.8925925925925927,0.017858612520357312,3,13.283333333333333,0.09548500492291535,0.5072678656536003,0.2422111991378996,0.5486833009454939,0.47133296098974015,0.007846135921297698,0.04074074243091875,3.297789642545912
