dataset,shot,cosco_proto_margin_minus_cosco,cosco_geometry_rho_minus_cosco,cosco_proto_margin_geometry_rho_minus_cosco,combination_synergy,combination_minus_best_component
Epilepsy,1,0.0,0.01690821256038651,0.01690821256038651,0.0,0.0
Epilepsy,10,-0.004830917874396194,-0.0024154589371980784,0.0024154589371980415,0.009661835748792313,0.0
NATOPS,1,0.0,-0.011111111111111146,-0.011111111111111146,0.0,-0.01296296296296299
NATOPS,10,0.0018518518518518823,-0.01851851851851849,-0.02222222222222218,-0.005555555555555573,-0.024074074074074064
