dataset,shot,model,accuracy_mean,accuracy_std,successful_runs,elapsed_mean_sec,rho_mean,pressure_mean,boundary_mean,crowding_mean,compactness_mean
Heartbeat,1,cosco,0.734959349593496,0.007451342593424133,3,5.516666666666667,,,,,
Heartbeat,1,cosco_geometry_rho,0.7365853658536586,0.004878048780487809,3,5.79,0.11017573852459815,0.2169409531078185,0.0,0.20434717337290445,0.0
Heartbeat,10,cosco,0.726829268292683,0.008449028329604287,3,28.233333333333334,,,,,
Heartbeat,10,cosco_geometry_rho,0.7284552845528456,0.010154468290078716,3,27.89,0.11483613169736624,0.5483797859069264,0.5805640074941847,0.39799359771940446,0.7525986545615725
RacketSports,1,cosco,0.4912280701754386,0.033760535785834746,3,1.01,,,,,
RacketSports,1,cosco_geometry_rho,0.46491228070175444,0.013695171049119284,3,1.14,0.11464545891087796,0.4328109709076924,0.0,0.40571666028764514,0.0
RacketSports,10,cosco,0.7785087719298245,0.016556654463313003,3,5.346666666666667,,,,,
RacketSports,10,cosco_geometry_rho,0.7675438596491229,0.020099016205946705,3,5.446666666666666,0.1125072123451919,0.5242314298416294,0.2853018043976691,0.4906608058346642,0.5243271711799834
