model,model_key,dataset,shot,accuracy,elapsed_sec,seed,status,cosco_variant,rho_min,rho_mean,rho_max,rho_final,proto_stress_mean,proto_stress_final,fft_reg_lambda,fft_reg_loss_time_mean,fft_reg_loss_freq_mean,fft_reg_loss_total_mean,fft_reg_lambda_min,fft_reg_lambda_mean,fft_reg_lambda_max,fft_reg_lambda_final,proto_margin_value,proto_margin_beta,proto_margin_base_loss_mean,proto_margin_loss_mean,proto_margin_total_loss_mean,proto_margin_positive_rate_mean,proto_margin_gap_mean
cosco_proto_margin,cosco_proto_margin_m0.1_b0.05,RacketSports,1,0.5,1.5,9924,ok,m0.1_b0.05,,,,,,,,,,,,,,,0.1,0.05,0.7481869220733642,0.0,0.7481869220733642,0.0,7.335820622444153
cosco_proto_margin,cosco_proto_margin_m0.1_b0.1,RacketSports,1,0.4934210526315789,1.5,9924,ok,m0.1_b0.1,,,,,,,,,,,,,,,0.1,0.1,0.7482250291109085,0.0,0.7482250291109085,0.0,7.2757676672935485
cosco_proto_margin,cosco_proto_margin_m0.1_b0.3,RacketSports,1,0.506578947368421,1.5,9924,ok,m0.1_b0.3,,,,,,,,,,,,,,,0.1,0.3,0.7482557618618011,0.0,0.7482557618618011,0.0,7.339220397472381
cosco_proto_margin,cosco_proto_margin_m0.3_b0.05,RacketSports,1,0.4934210526315789,1.5,9924,ok,m0.3_b0.05,,,,,,,,,,,,,,,0.3,0.05,0.7482516169548035,0.0,0.7482516169548035,0.0,7.275734004974365
cosco_proto_margin,cosco_proto_margin_m0.3_b0.1,RacketSports,1,0.5,1.5,9924,ok,m0.3_b0.1,,,,,,,,,,,,,,,0.3,0.1,0.7482562386989593,0.0,0.7482562386989593,0.0,7.338880994319916
cosco_proto_margin,cosco_proto_margin_m0.3_b0.3,RacketSports,1,0.5,1.5,9924,ok,m0.3_b0.3,,,,,,,,,,,,,,,0.3,0.3,0.7482231658697128,0.0,0.7482231658697128,0.0,7.299156639575958
cosco,cosco,RacketSports,10,0.7960526315789473,1.4,10644,ok,,,,,,,,,,,,,,,,,,,,,,
cosco_proto_margin,cosco_proto_margin_m0_b0.05,RacketSports,10,0.868421052631579,1.5,10644,ok,m0_b0.05,,,,,,,,,,,,,,,0.0,0.05,0.8062851351499557,0.0238605618593283,0.807478164434433,0.02225000036880374,5.6848660749197
cosco_proto_margin,cosco_proto_margin_m0_b0.1,RacketSports,10,0.8421052631578947,1.5,10644,ok,m0_b0.1,,,,,,,,,,,,,,,0.0,0.1,0.8011633676290512,0.016162216095253826,0.8027795892953873,0.018250000290572645,6.073123047053814
cosco_proto_margin,cosco_proto_margin_m0_b0.3,RacketSports,10,0.8421052631578947,1.5,10644,ok,m0_b0.3,,,,,,,,,,,,,,,0.0,0.3,0.7936182475090027,0.006854489533579909,0.7956745958328247,0.011500000096857548,6.439337992966175
