dataset,shot,model,accuracy_mean,accuracy_std,successful_runs,elapsed_mean_sec,rho_mean,pressure_mean,boundary_mean,crowding_mean,compactness_mean
RacketSports,1,cosco,0.41228070175438597,0.03854911366501523,3,0.21333333333333335,,,,,
RacketSports,1,cosco_geometry_rho,0.4276315789473684,0.023720732075420973,3,0.2333333333333333,0.11491992579128124,0.4709137819600105,0.0,0.47877517342567444,0.0
RacketSports,10,cosco,0.6271929824561403,0.050247540514866705,3,0.61,,,,,
RacketSports,10,cosco_geometry_rho,0.625,0.047441464150842,3,0.6433333333333334,0.10754442365421273,0.7153710477864742,0.7199060559272766,0.5722241679827372,0.8302653829256693
