model,dataset,shot,accuracy,train_n,test_n,classes,time_length,fft_bins,channels,normalize_time,fft_transform,distance_fusion,both_correct_rate,time_only_correct_rate,fft_only_correct_rate,neither_correct_rate,disagreement_rate,proto_margin_mean,proto_margin_median,proto_margin_positive_rate
time_ed_1nn,BasicMotions,1,0.425,4,40,4,100,51,6,False,rfft_log1p_abs_per_sample_channel_zscore,,0.4,0.025,0.2,0.375,0.325,,,
fft_ed_1nn,BasicMotions,1,0.6,4,40,4,100,51,6,False,rfft_log1p_abs_per_sample_channel_zscore,,0.4,0.025,0.2,0.375,0.325,,,
time_fft_ed_1nn,BasicMotions,1,0.475,4,40,4,100,51,6,False,rfft_log1p_abs_per_sample_channel_zscore,row_zscore_sum,0.4,0.025,0.2,0.375,0.325,,,
time_proto,BasicMotions,1,0.425,4,40,4,100,51,6,False,rfft_log1p_abs_per_sample_channel_zscore,,0.4,0.025,0.2,0.375,0.325,-4857.744201660156,-926.2113037109375,0.425
fft_proto,BasicMotions,1,0.6,4,40,4,100,51,6,False,rfft_log1p_abs_per_sample_channel_zscore,,0.4,0.025,0.2,0.375,0.325,10.39013671875,17.231964111328125,0.6
time_fft_proto,BasicMotions,1,0.475,4,40,4,100,51,6,False,rfft_log1p_abs_per_sample_channel_zscore,row_zscore_sum,0.4,0.025,0.2,0.375,0.325,-0.6284661130979657,-0.23221451044082642,0.475
