model,dataset,shot,accuracy,elapsed_sec,seed,status,cosco_variant,rho_min,rho_mean,rho_max,rho_final,proto_stress_mean,proto_stress_final
cosco,BasicMotions,1,1.0,0.8,9782,ok,,,,,,,
cosco_dynamic_rho,BasicMotions,1,1.0,0.1,9782,ok,dynamic_rho_proto_geometry_alpha=1.0,0.1,0.1,0.1,0.1,0.0,0.0
