dataset,shot,model,accuracy_mean,accuracy_std,successful_runs,elapsed_mean_sec,rho_mean,pressure_mean,boundary_mean,crowding_mean,compactness_mean,margin_loss_mean,margin_active_rate,margin_gap_mean
Heartbeat,10,cosco_proto_margin,0.7252032520325203,0.005632685553069533,3,28.959999999999997,,,,,,0.4211266339653068,0.3844444397423003,0.3233127342330085
Heartbeat,10,cosco_proto_margin_geometry_rho,0.7300813008130081,0.0074513425934241515,3,28.320000000000004,0.09154720089566303,0.5516820781864182,0.5785930030875736,0.40248301393455926,0.7538932508892483,0.4223458915948868,0.38555555111832085,0.3387848943471909
JapaneseVowels,10,cosco_proto_margin,0.9090090090090089,0.016513786288129193,3,9.456666666666667,,,,,,0.013078450503396904,0.02061728454298443,5.224957480695513
JapaneseVowels,10,cosco_proto_margin_geometry_rho,0.9063063063063064,0.013869193079586147,3,9.21,0.10425888364790316,0.38118757403730347,0.12662873326076401,0.38871354924307927,0.4102574474281735,0.008907732075507132,0.016543210339215065,5.435638708538479
RacketSports,10,cosco_proto_margin,0.793859649122807,0.021148356932002108,3,4.923333333333333,,,,,,0.07051906483765279,0.08138888995680545,2.3272591854135194
RacketSports,10,cosco_proto_margin_geometry_rho,0.8135964912280702,0.02114835693200208,3,4.906666666666666,0.09708367351294345,0.47510315473254244,0.21276558029154935,0.44543915755218927,0.45043817791673874,0.06877629653447204,0.07138889005614651,2.862939633097914
