model,model_key,dataset,shot,accuracy,elapsed_sec,seed,status,cosco_variant,rho_min,rho_mean,rho_max,rho_final,proto_stress_mean,proto_stress_final,geometry_boundary_mean,geometry_crowding_mean,geometry_compactness_mean,fft_reg_lambda,fft_reg_loss_time_mean,fft_reg_loss_freq_mean,fft_reg_loss_total_mean,fft_reg_lambda_min,fft_reg_lambda_mean,fft_reg_lambda_max,fft_reg_lambda_final,proto_margin_value,proto_margin_beta,proto_margin_base_loss_mean,proto_margin_loss_mean,proto_margin_total_loss_mean,proto_margin_positive_rate_mean,proto_margin_gap_mean
cosco,cosco,BasicMotions,1,1.0,0.3,9782,ok,,,,,,,,,,,,,,,,,,,,,,,,,
cosco_geometry_rho,cosco_geometry_rho,BasicMotions,1,1.0,0.1,9782,ok,dynamic_rho_geometry_v2_alpha=0.15,0.08105156877656276,0.08105156877656276,0.08105156877656276,0.08105156877656276,0.634774386882782,0.634774386882782,0.0,0.634774386882782,0.0,,,,,,,,,,,,,,,
