dataset,shot,base_seed,cosco_geometry_rho
Heartbeat,1,10,0.7317073170731707
Heartbeat,1,20,0.7414634146341463
Heartbeat,1,30,0.7365853658536585
Heartbeat,10,10,0.7268292682926829
Heartbeat,10,20,0.7317073170731707
Heartbeat,10,30,0.7317073170731707
RacketSports,1,10,0.46710526315789475
RacketSports,1,20,0.4473684210526316
RacketSports,1,30,0.5263157894736842
RacketSports,10,10,0.7828947368421053
RacketSports,10,20,0.8026315789473685
RacketSports,10,30,0.8223684210526315
